owner,customer,ssi,method
Casco Bay Energy Co LLC,Casco Bay Energy Co LLC,False,unmatched - passthrough
Onward Energy,Onward Energy,False,rule
"Ohio Power Partners, LLC","Ohio Power Partners, LLC",False,unmatched - passthrough
"Carolina Power Partners, LLC","Carolina Power Partners, LLC",False,unmatched - passthrough
NRG Energy Services LLC,NRG Energy Group,False,rule
Desert Star Energy Center SDG&E,Sempra Group,False,rule
Great River Energy,Great River Energy,False,rule
Danskammer Energy,Danskammer Energy,False,unmatched - passthrough
Frontera Generation Limited Partnership,Frontera Generation Limited Partnership,False,unmatched - passthrough
New York Power Authority,New York Power Authority,False,unmatched - passthrough
Omaha Public Power District,Omaha Public Power District,False,rule
ExxonMobil Oil Corp,ExxonMobil Oil Corp,False,unmatched - passthrough
Faraday Solar B LLC,Faraday Solar B LLC,False,unmatched - passthrough
Birdsboro Power LLC,Birdsboro Power LLC,False,unmatched - passthrough
"Aviator Wind, LLC","Aviator Wind, LLC",False,unmatched - passthrough
Long Ridge Energy Generation LLC,Long Ridge Energy Generation LLC,False,unmatched - passthrough
Bridgeport Energy LLC,Bridgeport Energy LLC,False,unmatched - passthrough
Oxy Cogener Holding Co Inc,Oxy Cogener Holding Co Inc,False,unmatched - passthrough
Repsol Renewables NA,Repsol Renewables,False,rule
"Manchester Street, LLC.","Manchester Street, LLC.",False,unmatched - passthrough
Platte River Power Authority,Platte River Power Authority,False,unmatched - passthrough
Avangrid Power LLC,Avangrid Renewables,True,rule
"White Mesa Wind, LLC","White Mesa Wind, LLC",False,unmatched - passthrough
"Hecate Energy Ramsey, LLC",Hecate Energy,False,rule
50LW 8me LLC,8minute Solar Energy,False,rule
Walnut Creek LLC,Walnut Creek LLC,False,unmatched - passthrough
"Young Wind, LLC","Young Wind, LLC",False,unmatched - passthrough
"High Lonesome Wind Power, LLC","High Lonesome Wind Power, LLC",False,unmatched - passthrough
Tesoro SoCal Cogen LLC,Tesoro SoCal Cogen LLC,False,unmatched - passthrough
Fengate Asset Management,Fengate Asset Management,False,unmatched - passthrough
"Walton County Power, LLC.","Walton County Power, LLC.",False,unmatched - passthrough
Westlake 2 US LLC,Westlake 2 US LLC,False,unmatched - passthrough
Algonquin Power Co,Algonquin / Liberty,False,rule
"Sonoran Solar Energy, LLC","Sonoran Solar Energy, LLC",False,unmatched - passthrough
"Black Hills Power, Inc.",Black Hills Corp,False,rule
"HO Clarke Generating, LLC","HO Clarke Generating, LLC",False,unmatched - passthrough
"Braes Bayou Generating, LLC","Braes Bayou Generating, LLC",False,unmatched - passthrough
"Brotman Generating, LLC","Brotman Generating, LLC",False,unmatched - passthrough
"Mark One Generating, LLC","Mark One Generating, LLC",False,unmatched - passthrough
"Shelby County Energy Center, LLC","Shelby County Energy Center, LLC",False,unmatched - passthrough
"Parliament Solar, LLC","Parliament Solar, LLC",False,unmatched - passthrough
"Mockingbird Solar Center, LLC","Mockingbird Solar Center, LLC",False,unmatched - passthrough
"Gregory Power Holdings, LLC","Gregory Power Holdings, LLC",False,unmatched - passthrough
Eastman Cogeneration LP,Eastman Cogeneration LP,False,unmatched - passthrough
Public Service Co of NM,Public Service Co of NM,False,unmatched - passthrough
Wolverine Power Supply Coop,Federal / Regional Power Authority,False,rule
Texas City Cogeneration LLC,Texas City Cogeneration LLC,False,unmatched - passthrough
Selkirk Cogen Partners LP,Selkirk Cogen Partners LP,False,unmatched - passthrough
Lafayette Utilities System,Lafayette Utilities System,False,unmatched - passthrough
Wake Wind Energy LLC,Wake Wind Energy LLC,False,unmatched - passthrough
Dunns Bridge II Solar and Storage Generation LLC,Dunns Bridge II Solar and Storage Generation LLC,False,unmatched - passthrough
Richland-Stryker Generation LLC,Richland-Stryker Generation LLC,False,unmatched - passthrough
"Panoche Energy Center, LLC","Panoche Energy Center, LLC",False,unmatched - passthrough
Vistra Corp,Vistra Group,False,rule
"Old 300 Solar Center, LLC","Old 300 Solar Center, LLC",False,unmatched - passthrough
"Millennium Power Company, LLC","Millennium Power Company, LLC",False,unmatched - passthrough
PHR Holdings LLC,PHR Holdings LLC,False,unmatched - passthrough
Vermillion Power LLC,Vermillion Power LLC,False,unmatched - passthrough
"2W Permian Solar, LLC","2W Permian Solar, LLC",False,unmatched - passthrough
Mesquite Star Special LLC,Mesquite Star Special LLC,False,unmatched - passthrough
Ennis Power Company LLC,Ennis Power Company LLC,False,unmatched - passthrough
City of Alexandria - (LA),Municipal / Public Utility (various),False,rule
Granite Shore Power,Granite Shore Power,False,unmatched - passthrough
Arizona Electric Pwr Coop Inc,Electric Cooperative (various),False,rule
"Solano Wind 3, LLC","Solano Wind 3, LLC",False,unmatched - passthrough
Ash Creek,Ash Creek,False,unmatched - passthrough
"Wabash Valley Power Assn, Inc","Wabash Valley Power Assn, Inc",False,unmatched - passthrough
