plant_id,plant_name,state,hybrid_reasons
65956,Storey Solar and Storage,AZ,pv_same_plant
65962,"Mesquite Solar 4, LLC",AZ,"rte_gt_1,pv_same_plant"
65963,"Mesquite Solar 5, LLC",AZ,pv_same_plant
65967,Paris Solar,WI,pv_same_plant
65987,Desert Peak Energy Storage I,CA,rte_gt_1
65988,Desert Peak Energy Storage II,CA,rte_gt_1
66023,Grossmont-Cuyamaca-Cuyamaca Col. Solar &,CA,"colocated_firming,pv_same_plant"
66048,"Middleton Biogas Solar, LLC",WI,"colocated_firming,pv_same_plant,dc_coupled"
66075,Blacksmith Road Solar 1,MA,"colocated_firming,pv_same_plant"
66076,Electric Avenue Lunenburg Solar 1,MA,"pv_same_plant,dc_coupled"
66128,Lake Mabel Solar and Battery Storage,FL,"colocated_firming,pv_same_plant"
66129,Dover Solar and Battery Storage,FL,"colocated_firming,pv_same_plant"
66137,Zier Solar,TX,pv_same_plant
66163,Jicarilla Solar 1 LLC,NM,pv_same_plant
66178,"South 49th 013445 SCS Norfolk, LLC",NE,pv_same_plant
66180,Huxley Solar,MA,"colocated_firming,pv_same_plant,dc_tight"
66181,"Beacon Solar, LLC",MA,"colocated_firming,pv_same_plant,dc_tight"
66182,Town of Amherst Solar,MA,"colocated_firming,pv_same_plant,dc_tight"
66218,Dubois Solar (Hybrid),NY,"rte_gt_1,pv_same_plant,dc_coupled"
66222,Landau II Solar (Hybrid),NY,"rte_gt_1,pv_same_plant,dc_coupled"
66228,Salt Point Solar (Hybrid),NY,"rte_gt_1,pv_same_plant,dc_coupled"
66232,Svenski Solar (Hybrid),NY,"pv_same_plant,dc_tight"
66263,Eleven Mile Solar Center,AZ,pv_same_plant
66270,Proxima,CA,pv_same_plant
66271,Ameresco HCE Solar LLC,CO,pv_same_plant
66357,Yellow Pine Solar,NV,pv_same_plant
66408,Buena Vista Energy Center,NM,"pv_same_plant,dc_coupled"
66420,Five Wells Solar Center - Hybrid,TX,"colocated_firming,pv_same_plant"
66474,MA Blackstone,MA,"pv_same_plant,dc_coupled"
66488,Davis Solar,NY,"pv_same_plant,dc_tight"
66499,Federalsburg Energy Storage 1 LLC,MD,"pv_same_plant,dc_coupled"
66501,Cicero Energy Storage 1 LLC,NY,"pv_same_plant,dc_coupled"
66503,Cicero Energy Storage 2 LLC,NY,"pv_same_plant,dc_coupled"
66509,CA Manteca 730 Spreckels Ave,CA,"pv_same_plant,dc_coupled"
66517,TX Houston 7080 Express Lane,TX,pv_same_plant
66532,BCE Los Alamitos 2,CA,pv_same_plant
66533,BCE Los Alamitos 1,CA,pv_same_plant
66540,Shamrock Wind,TX,colocated_firming
66574,San Juan Solar I,NM,pv_same_plant
66598,Baldy Mesa Solar & Storage,CA,"pv_same_plant,dc_coupled"
66608,Craighead Electric Solar One,AR,pv_same_plant
66620,Resurgence Solar II,CA,pv_same_plant
66627,Sonoran Solar Energy,AZ,pv_same_plant
66629,"Envoy Solar, LLC",MO,pv_same_plant
66636,McFarland A Solar and Storage,AZ,pv_same_plant
66637,McFarland B Solar and Storage,AZ,"pv_same_plant,dc_coupled"
66688,"Bright Arrow Solar, LLC",TX,pv_same_plant
66694,Atrisco Energy Storage,NM,rte_gt_1
66699,Lockhart Solar PV II,CA,pv_same_plant
66717,Eastover Solar,SC,"pv_same_plant,dc_coupled"
